TWA;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;35;40;50;60;70
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;1.83;3.52;4.57;5.09;4.83;5.35;5.09;5.22;4.83;4.96;3.91;4.04;3.13;2.09;1.04;0.52;0.38;0.37;0.24;0.12
35;0.0;2.35;4.7;6.13;6.78;6.39;7.31;6.92;7.05;6.52;6.65;5.48;5.61;4.44;3.26;1.96;1.04;0.64;0.62;0.49;0.24
40;0.0;3.13;6.0;8.09;8.87;8.48;9.52;9.13;9.26;8.74;9.0;7.57;7.7;6.13;4.7;3.26;1.7;1.02;1.0;0.73;0.48
45;0.0;3.52;7.18;9.39;10.05;9.52;10.44;10.18;10.44;10.05;10.18;8.74;8.87;7.31;5.74;4.18;2.22;1.41;1.37;0.98;0.6
50;0.0;3.91;8.22;10.31;10.57;10.7;11.74;11.35;11.61;11.09;11.35;10.05;10.18;8.61;7.05;5.35;2.74;1.79;1.75;1.22;0.84
55;0.0;4.44;9.26;11.48;11.48;11.74;13.05;12.53;13.05;12.4;12.79;11.22;11.61;10.05;8.35;6.52;3.39;2.3;2.24;1.47;0.96
60;0.0;4.7;9.52;12.66;12.66;12.66;13.96;13.83;14.35;13.83;14.22;12.53;12.92;11.22;9.79;7.96;4.18;2.81;2.74;1.83;1.2
65;0.0;4.96;9.79;13.05;13.83;13.96;15.27;15.0;15.53;15.27;15.79;14.48;14.87;13.05;11.35;9.52;5.61;3.71;3.62;2.44;1.68
70;0.0;5.22;10.18;13.31;14.09;15.0;16.57;16.44;16.96;16.57;17.22;16.05;16.57;14.87;13.31;11.35;7.44;4.86;4.74;3.06;2.16
75;0.0;5.35;10.31;13.57;14.61;15.4;16.83;17.74;18.4;18.4;19.05;17.74;18.27;16.57;15.0;13.05;9.0;6.4;6.23;4.16;2.88
80;0.0;5.48;10.57;13.7;15.4;15.66;17.09;18.14;19.05;19.96;20.88;19.44;20.09;18.53;16.7;15.0;10.7;8.06;7.85;5.13;3.47
85;0.0;5.48;10.57;13.83;15.66;16.18;17.35;18.53;19.57;20.75;21.92;21.66;22.7;21.14;18.92;16.96;12.53;9.59;9.35;6.23;4.19
90;0.0;5.48;10.57;13.83;15.79;16.7;17.88;19.05;20.09;21.53;22.7;23.88;25.05;23.09;21.4;19.05;14.61;11.38;11.1;7.58;5.03
95;0.0;5.35;10.31;13.7;15.66;16.96;18.14;19.44;20.88;22.31;23.62;24.66;25.7;25.18;22.96;20.48;15.92;12.66;12.34;8.31;5.51
100;0.0;5.22;10.18;13.31;15.4;17.09;18.27;19.7;21.4;22.96;24.4;25.44;26.49;27.01;24.53;22.31;17.22;14.2;13.84;9.17;6.23
105;0.0;4.96;9.79;13.18;15.53;16.96;18.4;19.83;21.66;23.09;24.79;25.57;26.49;27.14;26.36;24.14;19.18;16.12;15.71;10.39;7.07
110;0.0;4.7;9.52;13.18;15.66;16.7;18.4;19.96;22.05;23.62;25.18;25.7;26.49;27.14;28.05;25.97;21.53;18.16;17.7;11.85;8.03
115;0.0;4.57;9.52;13.05;15.4;16.7;18.27;20.09;22.05;23.49;25.05;25.83;26.88;27.79;28.71;28.31;23.88;20.34;19.82;13.32;8.99
120;0.0;4.57;9.26;12.79;15.27;16.83;18.14;20.09;22.05;23.36;24.92;26.1;27.27;28.44;29.49;30.4;26.36;22.51;21.94;14.67;9.82
125;0.0;4.31;8.74;12.4;14.87;16.57;18.14;20.22;22.05;23.36;24.92;26.23;27.4;28.71;29.75;30.92;28.71;24.69;24.06;16.13;10.78
130;0.0;4.18;8.35;11.74;14.35;16.18;18.14;20.22;22.05;23.36;24.92;26.36;27.66;29.1;30.14;31.45;30.79;27.12;26.43;17.6;11.86
135;0.0;3.78;7.57;10.96;13.57;15.53;17.22;19.44;21.53;22.96;25.18;26.62;28.05;29.23;30.53;31.84;34.05;29.8;29.05;19.55;13.06
140;0.0;3.52;7.05;10.18;12.79;14.87;16.57;18.4;21.01;22.44;25.31;26.75;28.31;29.49;30.79;32.1;37.06;32.62;31.79;21.26;14.26
145;0.0;3.13;6.39;9.26;11.61;13.83;15.53;17.09;19.31;21.14;23.75;25.83;28.05;29.75;31.31;32.88;36.79;34.41;33.54;22.36;15.1
150;0.0;2.87;5.61;8.35;10.83;12.92;14.61;16.18;17.88;19.96;22.57;25.05;27.79;29.88;31.84;33.79;36.53;35.81;34.91;23.34;15.57
155;0.0;2.61;5.09;7.44;9.79;11.74;13.7;15.27;16.7;18.53;20.62;22.96;25.31;27.66;29.49;31.71;36.01;35.3;34.41;22.98;15.45
160;0.0;2.35;4.44;6.78;9.0;10.96;12.79;14.35;15.92;17.35;18.79;21.14;23.36;25.57;27.79;29.75;35.36;34.66;33.78;22.61;15.21
170;0.0;2.09;4.18;6.39;8.48;10.18;11.87;13.31;14.87;16.18;17.61;19.7;21.66;23.75;25.7;27.79;32.88;32.23;31.42;21.14;14.14
180;0.0;1.96;4.04;6.0;8.09;9.79;11.35;12.79;14.22;15.53;16.83;18.79;20.88;22.7;24.79;26.62;31.71;31.08;30.29;20.41;13.66
